Parsing + chunking /Users/seyednavidmirnourilangeroudi/Downloads/mabhas9-1402-08_260814_023938.pdf ...
  OCR page 426/652 (1017 chars)
  OCR page 427/652 (1507 chars)
  OCR page 428/652 (1445 chars)
  OCR page 429/652 (1165 chars)
  OCR page 430/652 (1261 chars)
  OCR page 431/652 (1098 chars)
  OCR page 432/652 (1531 chars)
  OCR page 433/652 (1155 chars)
  OCR page 434/652 (1407 chars)
  OCR page 435/652 (1481 chars)
  OCR page 436/652 (1165 chars)
  OCR page 437/652 (1520 chars)
  OCR page 438/652 (1545 chars)
  OCR page 439/652 (1227 chars)
  OCR page 440/652 (271 chars)
  OCR page 441/652 (673 chars)
  OCR page 442/652 (875 chars)
  OCR page 443/652 (443 chars)
  OCR page 444/652 (954 chars)
  OCR page 445/652 (175 chars)
  OCR page 446/652 (1078 chars)
  OCR page 447/652 (1119 chars)
  OCR page 448/652 (442 chars)
  OCR page 449/652 (790 chars)
  OCR page 450/652 (703 chars)
  OCR page 451/652 (1312 chars)
  OCR page 452/652 (802 chars)
  OCR page 453/652 (864 chars)
  OCR page 454/652 (1077 chars)
  OCR page 455/652 (968 chars)
  OCR page 456/652 (1095 chars)
  OCR page 457/652 (866 chars)
  OCR page 458/652 (809 chars)
  OCR page 459/652 (814 chars)
  OCR page 460/652 (1033 chars)
  OCR page 461/652 (1040 chars)
  OCR page 462/652 (947 chars)
  OCR page 463/652 (1029 chars)
  OCR page 464/652 (1269 chars)
  OCR page 465/652 (1119 chars)
  OCR page 466/652 (1225 chars)
  OCR page 467/652 (492 chars)
  OCR page 468/652 (953 chars)
  OCR page 469/652 (1345 chars)
  OCR page 470/652 (853 chars)
  OCR page 471/652 (763 chars)
  OCR page 472/652 (419 chars)
  OCR page 473/652 (753 chars)
  OCR page 474/652 (736 chars)
  OCR page 475/652 (360 chars)
  OCR page 476/652 (700 chars)
  OCR page 477/652 (741 chars)
  OCR page 478/652 (1098 chars)
  OCR page 479/652 (967 chars)
  OCR page 480/652 (1010 chars)
  OCR page 481/652 (1065 chars)
  OCR page 482/652 (968 chars)
  OCR page 483/652 (1234 chars)
  OCR page 484/652 (1506 chars)
  OCR page 485/652 (1070 chars)
  OCR page 486/652 (1320 chars)
  OCR page 487/652 (1373 chars)
  OCR page 488/652 (1289 chars)
  OCR page 489/652 (1290 chars)
  OCR page 490/652 (1312 chars)
  OCR page 491/652 (1176 chars)
  OCR page 492/652 (844 chars)
  OCR page 493/652 (734 chars)
  OCR page 494/652 (1025 chars)
  OCR page 495/652 (877 chars)
  OCR page 496/652 (1038 chars)
  OCR page 497/652 (1283 chars)
  OCR page 498/652 (1115 chars)
  OCR page 499/652 (924 chars)
  OCR page 500/652 (1244 chars)
  OCR page 501/652 (1265 chars)
  OCR page 502/652 (1100 chars)
  OCR page 503/652 (1557 chars)
  OCR page 504/652 (942 chars)
  OCR page 505/652 (763 chars)
  OCR page 506/652 (277 chars)
  OCR page 507/652 (896 chars)
  OCR page 508/652 (1241 chars)
  OCR page 509/652 (1279 chars)
  OCR page 510/652 (1136 chars)
  OCR page 511/652 (582 chars)
  OCR page 512/652 (0 chars)
  OCR page 513/652 (722 chars)
  OCR page 514/652 (1187 chars)
  OCR page 515/652 (1335 chars)
  OCR page 516/652 (1004 chars)
  OCR page 517/652 (955 chars)
  OCR page 518/652 (1152 chars)
  OCR page 519/652 (1150 chars)
  OCR page 520/652 (877 chars)
Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/httpx/_transports/default.py", line 101, in map_httpcore_exceptions
    yield
  File "/Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/httpx/_transports/default.py", line 250, in handle_request
